,Description,Sentiment,IsRelevant,ID,tfVector
25,uk consumer poll indicates majority expect covid impact last months march expect increase next tracker see full results coronavirus consumer confidence tracker,Positive,1.0,26.0,"[{u'hunger': 1, u'food': 2, u'shortage': 1, u'percent': 1, u'coalition': 1, u'covid': 1, u'due': 1, u'preparation': 1, u'potential': 1, u'coronavirus': 1, u'purchased': 1, u'demand': 1, u'new': 1, u'implemented': 1, u'protocols': 1, u'higher': 1}]"
26,preparation higher demand potential food shortage hunger coalition purchased percent food implemented new protocols due covid coronavirus,Negative,0.0,27.0,"[{u'updated': 1, u'ok': 1, u'pragmatic': 1, u'people': 1, u'feel': 1, u'positive': 1, u'keep': 1, u'since': 1, u'isolated': 1, u'covid': 1, u'morning': 1, u'symptoms': 1, u'tested': 1, u'virus': 1, u'home': 1, u'far': 1, u'found': 1, u'stay': 1, u'panic': 1, u'possible': 1, u'exposure': 1}]"
27,morning tested positive covid feel ok symptoms far isolated since found possible exposure virus stay home people pragmatic keep updated panic,Negative,0.0,28.0,"[{u'complaint': 2, u'set': 1, u'digitally': 1, u'use': 1, u'word': 1, u'price': 1, u'malicious': 1, u'worker': 1, u'increases': 1, u'covid': 1, u'click': 1, u'see': 1, u'protection': 1, u'overcharge': 1, u'file': 2, u'covidnyc': 1, u'department': 1, u'nyc': 2, u'dcwp': 1, u'consumer': 1, u'page': 1}]"
28,see malicious price increases nyc nyc department consumer worker protection dcwp set page digitally file complaint click file complaint use word overcharge covid covidnyc,Negative,0.0,29.0,"[{u'lockup': 1, u'stores': 1, u'stockup': 1, u'raid': 1, u'people': 1, u'breaking': 1, u'unlawful': 1, u'soon': 1, u'supermarkets': 1, u'coronavirus': 1, u'massive': 1, u'closed': 1, u'amp': 2, u'supplies': 1, u'dwindling': 1, u'normally': 1, u'crisis': 1, u'panicky': 1}]"
29,soon dwindling supplies unlawful panicky people breaking closed stores amp supermarkets raid normally crisis massive coronavirus stockup amp lockup,Negative,0.0,30.0,"[{u'ensues': 1, u'people': 1, u'food': 1, u'country': 1, u'shelves': 1, u'see': 1, u'empty': 1, u'buying': 1, u'stock': 1}]"
30,country empty shelves people see buying ensues food stock,Negative,0.0,31.0,"[{u'grocery': 1, u'united': 1, u'collapse': 1, u'neighborhoods': 1, u'breakingnews': 1, u'breaking': 1, u'richest': 1, u'covid': 4, u'one': 1, u'states': 1, u'foods': 1, u'nicest': 1, u'coronavirusoutbreak': 1, u'images': 1, u'coronavirus': 1, u'hole': 1, u'store': 1}]"
31,hole foods images nicest grocery store one richest neighborhoods united states breakingnews breaking coronavirus coronavirusoutbreak covid covid covid covid collapse,Positive,1.0,32.0,"[{u'via': 1, u'brickandmortar': 1, u'could': 1, u'closures': 1, u'explode': 1, u'coronavirus': 1, u'retail': 1, u'store': 1}]"
32,retail store closures could explode coronavirus via brickandmortar,Neutral,0.0,33.0,"[{u'aisle': 1, u'grocery': 1, u'get': 1, u'coronavirusoutbreak': 1, u'covid': 1, u'quickly': 1, u'coronavirus': 2, u'fact': 1, u'pretty': 1, u'fun': 1, u'cough': 1, u'whole': 1, u'store': 1}]"
33,coronavirus fun fact cough grocery store get whole aisle pretty quickly coronavirusoutbreak coronavirus covid,Positive,1.0,34.0,"[{u'speakers': 1, u'attendees': 1, u'answered': 1, u'may': 1, u'top': 1, u'wellbeing': 1, u'due': 1, u'covid': 1, u'faqs': 1, u'priority': 1, u'apologies': 1, u'say': 1, u'health': 1, u'disappointment': 1, u'cancelled': 1, u'link': 1, u'sorry': 1, u'cause': 1, u'event': 1, u'staff': 1}]"
34,sorry say event cancelled due covid health wellbeing attendees speakers staff top priority apologies disappointment may cause faqs answered link,Negative,0.0,35.0,"[{u'toilet': 1, u'anything': 1, u'gone': 1, u'covid': 1, u'yesterday': 1, u'supermarket': 1, u'virus': 1, u'paper': 1, u'corona': 1, u'went': 1}]"
35,went supermarket yesterday toilet paper gone anything corona virus covid,Neutral,0.0,36.0,"[{u'load': 1, u'point': 1, u'elderly': 1, u'need': 1, u'yes': 1, u'alr': 1, u'viral': 1, u'needs': 1, u'people': 1, u'everything': 1, u'parents': 1, u'siblings': 1, u'buy': 2, u'posting': 1, u'supermarket': 1, u'photos': 1, u'buying': 1, u'kids': 1, u'could': 1, u'covid': 1, u'etc': 1, u'stuff': 1}]"
36,yes buy need point posting photos people supermarket load stuff could buying elderly parents kids siblings etc buy everything needs viral covid alr,Positive,1.0,37.0,"[{u'impact': 1, u'help': 1, u'money': 1, u'manage': 1, u'pandemic': 1, u'covid': 2, u'worried': 1, u'current': 1, u'published': 1, u'tips': 1, u'times': 1, u'finances': 1, u'challenging': 1}]"
37,worried impact current covid pandemic finances published tips help manage money challenging times covid,Positive,1.0,38.0,"[{u'saying': 1, u'disinfectant': 1, u'deep': 1, u'cost': 1, u'objected': 1, u'due': 2, u'recommending': 1, u'sick': 1, u'company': 1, u'store': 1, u'requested': 1, u'get': 1, u'coughing': 1, u'yesterday': 1, u'gonna': 1, u'spray': 1, u'everywhere': 1, u'amp': 2, u'customer': 1, u'retail': 1, u'wife': 1, u'die': 1, u'covid': 1, u'capitalism': 1, u'clean': 2, u'team': 1, u'works': 1, u'came': 1}]"
38,wife works retail amp customer came yesterday coughing everywhere saying covid requested deep clean store company objected due cost recommending team spray disinfectant amp clean gonna die get sick due capitalism,Negative,0.0,39.0,"[{u'covid': 1, u'like': 1, u'coronavirusoutbreak': 1, u'supermarket': 1, u'without': 1, u'judged': 1, u'go': 1}]"
39,go supermarket like without judged coronavirusoutbreak covid,Positive,1.0,40.0,"[{u'covid': 1, u'customers': 1, u'coronapocolypse': 1, u'shopping': 1, u'placed': 1, u'provide': 1, u'shoponline': 1, u'safe': 1, u'coronavirusoutbreak': 1, u'experience': 1, u'environment': 1, u'healthy': 1, u'associates': 1, u'coronavirus': 1, u'community': 1, u'online': 1, u'jlmcobrand': 1, u'jlmco': 1, u'orders': 1}]"
40,provide safe shopping experience customers healthy environment associates community online orders placed jlmco jlmcobrand coronapocolypse coronavirus coronavirusoutbreak covid shoponline,Positive,1.0,41.0,"[{u'everyone': 1, u'shoes': 1, u'extra': 1, u'onlineshopping': 1, u'curious': 1, u'go': 1, u'home': 1, u'spooked': 1, u'get': 1, u'unable': 1, u'lot': 1, u'online': 1, u'shoppers': 1, u'stayhome': 1, u'economy': 1, u'shopping': 1, u'bc': 1, u'pair': 1, u'covid': 1, u'coronavirus': 1, u'retail': 1, u'think': 2}]"
41,curious think retail shoppers lot online shopping bc home unable go think everyone spooked get extra pair shoes economy onlineshopping coronavirus covid stayhome,Positive,1.0,42.0,"[{u'houston': 1, u'nofood': 1, u'nohandsanitizer': 1, u'usa': 2, u'food': 1, u'die': 1, u'pandemic': 1, u'walmart': 1, u'due': 1, u'gonna': 1, u'coronavirusoutbreak': 1, u'nohandshakes': 1, u'video': 1, u'covid': 2, u'totallockdown': 1, u'coronavirus': 2, u'starvation': 1, u'panic': 1, u'check': 1, u'market': 1, u'notoiletpaper': 1}]"
42,check video food usa market due coronavirus panic gonna die starvation coronavirusoutbreak coronavirus houston nofood notoiletpaper nohandshakes nohandsanitizer covid pandemic totallockdown covid usa walmart,Negative,0.0,43.0,"[{u'story': 1, u'shopping': 1, u'patches': 1, u'people': 1, u'quarantinelife': 1, u'forming': 1, u'breaking': 1, u'imadethisup': 1, u'coronavirusoutbreak': 1, u'coronavirus': 1, u'online': 1, u'mysterious': 1, u'white': 1, u'rises': 1, u'find': 1, u'fakenews': 1, u'clothes': 2}]"
43,breaking story online clothes shopping rises people find mysterious white patches forming clothes quarantinelife coronavirusoutbreak coronavirus imadethisup fakenews,Neutral,0.0,44.0,"[{u'customers': 1, u'morning': 1, u'outside': 1, u'line': 1, u'open': 1, u'store': 1, u'wait': 1}]"
44,line outside customers wait store open morning,Neutral,0.0,45.0,"[{u'hits': 1, u'goods': 1, u'coronavirussa': 1, u'food': 1, u'africans': 1, u'covid': 1, u'coronavirus': 1, u'basic': 1, u'panic': 1, u'south': 1, u'stock': 1}]"
45,south africans stock food basic goods coronavirus panic hits coronavirussa covid,Negative,0.0,46.0,"[{u'share': 1, u'deliveries': 1, u'need': 1, u'issues': 1, u'freezable': 1, u'living': 1, u'offering': 1, u'please': 1, u'due': 1, u'anyone': 1, u'struggling': 1, u'local': 1, u'someone': 1, u'around': 1, u'nationwide': 1, u'get': 1, u'free': 1, u'supermarket': 1, u'healthy': 1, u'soups': 1, u'plus': 1, u'know': 1}]"
46,please share know someone living struggling get local supermarket due issues around offering free deliveries healthy soups nationwide anyone need plus freezable,Positive,1.0,47.0,"[{u'covid': 1, u'grocery': 1, u'sharing': 1, u'shopping': 1, u'posting': 1, u'people': 2, u'shelves': 1, u'idiots': 1, u'lol': 1, u'calling': 1, u'photos': 1, u'completely': 1, u'dumb': 1, u'store': 1, u'half': 1, u'coronavirus': 1, u'empty': 1}]"
47,people posting sharing photos half completely empty shelves calling people dumb idiots shopping grocery store lol coronavirus covid,Positive,1.0,48.0,"[{u'peoplearelosingtheirminds': 1, u'stoppanicbuying': 1, u'never': 1, u'please': 1, u'back': 1, u'covid': 1, u'thought': 1, u'say': 1, u'coronavirus': 1, u'come': 1, u'stopthemadness': 1}]"
48,never thought say come back please coronavirus covid peoplearelosingtheirminds stopthemadness stoppanicbuying,Positive,1.0,49.0,"[{u'restrictions': 2, u'customers': 1, u'store': 1, u'run': 1, u'could': 1, u'coming': 1, u'days': 1, u'covid': 1, u'cannabis': 2, u'preparing': 1, u'closed': 1, u'sparking': 1, u'stores': 1, u'retail': 1, u'weekend': 1, u'yet': 1, u'stocking': 1}]"
49,covid restrictions sparking run cannabis stores closed yet customers stocking cannabis weekend preparing could retail store restrictions coming days,Neutral,0.0,50.0,"[{u'quack': 1, u'seeing': 1, u'proliferation': 1, u'food': 1, u'cures': 1, u'epidemics': 1, u'medicines': 1, u'rise': 1, u'racism': 1, u'covid': 1, u'theories': 1, u'current': 1, u'everything': 1, u'conspiracy': 1, u'pandemics': 1, u'outbreak': 1, u'seen': 1, u'fear': 1, u'panic': 1, u'buying': 1, u'previous': 1}]"
50,everything seeing current covid outbreak seen previous epidemics pandemics rise fear racism panic buying food medicines conspiracy theories proliferation quack cures,Negative,0.0,51.0,"[{u'everyone': 1, u'thank': 1, u'emergency': 1, u'workers': 1, u'pandemic': 1, u'covid': 1, u'remain': 1, u'socialdistancing': 1, u'closed': 1, u'retail': 2, u'open': 1, u'store': 1}]"
51,everyone closed remain open emergency store thank retail workers covid pandemic socialdistancing retail,Neutral,0.0,52.0,"[{u'kid': 1, u'shut': 1, u'work': 1, u'months': 1, u'afford': 1, u'lose': 1, u'companies': 1, u'pandemic': 1, u'worth': 1, u'water': 1, u'middle': 1, u'coronavirus': 1, u'food': 1, u'doors': 1, u'thier': 1, u'schools': 1, u'close': 1, u'stock': 1, u'cause': 2, u'go': 1, u'utility': 1}]"
52,stock water cause utility companies shut middle pandemic schools close thier doors lose work cause kid go afford months worth food coronavirus,Negative,0.0,53.0,"[{u'prevent': 1, u'money': 1, u'expenses': 1, u'submit': 1, u'dear': 1, u'home': 1, u'alarming': 1, u'distancing': 1, u'spread': 1, u'online': 1, u'staying': 1, u'shopping': 1, u'rules': 1, u'however': 1, u'let': 1, u'know': 1, u'reimbursement': 1, u'coronapocolypse': 1, u'spent': 1, u'amount': 1, u'coronavirus': 2, u'social': 1, u'following': 1}]"
53,dear coronavirus following social distancing rules staying home prevent spread however spent alarming amount money shopping online submit expenses reimbursement let know coronapocolypse coronavirus,Positive,1.0,54.0,"[{u'global': 1, u'due': 1, u'see': 1, u'impact': 1, u'negative': 1, u'supplied': 1, u'pressures': 1, u'spread': 1, u'several': 1, u'markets': 1, u'across': 1, u'food': 1, u'intensified': 1, u'virus': 1, u'coming': 1, u'prices': 1, u'continued': 1, u'geographies': 1, u'demand': 1, u'could': 1, u'months': 1, u'well': 1, u'covid': 1, u'resulting': 1, u'downward': 1}]"
54,global food prices spread covid intensified across several geographies could see downward pressures coming months due continued well supplied markets negative impact demand resulting virus,Negative,0.0,55.0,"[{u'great': 1, u'everyone': 1, u'family': 1, u'stoppanicbuying': 1, u'safe': 1, u'morning': 1, u'coronavirus': 1, u'mufc': 2, u'day': 1, u'bekind': 1}]"
55,morning everyone great safe day coronavirus stoppanicbuying bekind mufc mufc family,Positive,1.0,56.0,"[{u'case': 1, u'toilet': 1, u'use': 1, u'buy': 1, u'scenario': 1, u'emergency': 1, u'get': 1, u'food': 1, u'things': 1, u'crazy': 1, u'wash': 1, u'paper': 1, u'worst': 1, u'money': 1, u'coronavirus': 1, u'tub': 1, u'panic': 1, u'afraid': 1, u'important': 1}]"
56,things panic buy emergency get toilet paper important afraid worst case scenario wash tub use money food crazy coronavirus,Negative,0.0,57.0,"[{u'panick': 1, u'hard': 1, u'thrust': 1, u'thank': 1, u'working': 1, u'breed': 1, u'thanked': 1, u'new': 1, u'store': 1, u'eyes': 1, u'clerk': 2, u'serve': 1, u'realized': 1, u'weary': 1, u'front': 1, u'line': 1, u'responders': 1, u'grocery': 2, u'communities': 1, u'looked': 1, u'coronavirus': 1, u'today': 1, u'went': 1, u'first': 1}]"
57,thank grocery clerk went grocery store today looked weary eyes clerk thanked realized thrust front line panick new breed first responders working hard serve communities coronavirus,Positive,1.0,58.0,"[{u'entire': 1, u'great': 1, u'many': 1, u'shopping': 1, u'lost': 1, u'people': 1, u'surprise': 1, u'online': 1, u'challenges': 1, u'covid': 2, u'facing': 1, u'malaysia': 3, u'near': 1, u'future': 1, u'way': 1, u'world': 1, u'jobs': 1, u'outbreak': 1, u'shops': 1, u'retail': 1}]"
58,outbreak covid entire world retail shops malaysia facing great challenges near future online shopping surprise way people many lost jobs malaysia malaysia covid,Positive,1.0,59.0,"[{u'food': 1, u'markets': 1, u'coronavirus': 1, u'impacts': 1, u'thoughts': 1}]"
59,thoughts impacts coronavirus food markets,Neutral,0.0,60.0,"[{u'advantage': 1, u'scammers': 1, u'flu': 1, u'taking': 1, u'cdc': 1, u'fears': 1, u'covid': 1, u'alert': 1, u'trends': 1, u'coronavirus': 1, u'corner': 1, u'consumer': 1}]"
60,consumer corner scammers taking advantage covid fears coronavirus cdc flu trends alert,Negative,0.0,61.0,"[{u'purchase': 1, u'made': 1, u'fabric': 1, u'blown': 1, u'personnel': 1, u'medical': 1, u'material': 1, u'masks': 1, u'called': 1, u'melt': 1, u'obscure': 1, u'consumer': 1, u'require': 1}]"
61,masks made medical personnel consumer purchase require obscure material called melt blown fabric,Neutral,0.0,62.0,"[{u'work': 1, u'food': 1, u'capitalizing': 1, u'packaged': 1, u'lockdowncanada': 1, u'us': 1, u'stay': 1, u'coronavirus': 1, u'safety': 1, u'health': 1, u'opposed': 1, u'demand': 1, u'making': 1, u'closing': 1, u'open': 1}]"
62,work capitalizing demand packaged food making us stay open opposed closing health safety lockdowncanada coronavirus,Positive,1.0,63.0,"[{u'ethical': 1, u'ones': 1, u'feeling': 1, u'shopping': 1, u'like': 2, u'loved': 1, u'food': 1, u'isolation': 1, u'deliveries': 1, u'etc': 2, u'stuff': 1, u'covid': 1, u'packages': 1, u'online': 1, u'ship': 1, u'still': 1, u'order': 1, u'care': 1}]"
63,feeling like ethical still stuff like order deliveries food online shopping etc ship isolation care packages loved ones etc covid,Positive,1.0,64.0,"[{u'via': 1, u'pymnts': 1, u'consumers': 1, u'k': 1, u'changed': 1, u'covid': 1, u'lives': 1, u'daily': 1, u'told': 1}]"
64,k consumers told pymnts covid changed daily lives via,Neutral,0.0,65.0,"[{u'buy': 1, u'food': 1, u'house': 2, u'covid': 1, u'tragic': 1, u'panic': 1, u'think': 1, u'bought': 1}]"
65,bought house covid panic think buy food house tragic,Negative,0.0,66.0,"[{u'nameandshame': 1, u'community': 1, u'businesses': 1, u'need': 1, u'seen': 1, u'group': 1, u'essentials': 1, u'increasing': 1, u'liverpool': 1, u'emergency': 1, u'void': 1, u'stop': 1, u'despicable': 1, u'facebook': 1, u'prices': 1, u'totally': 1, u'spirit': 1, u'frankly': 1, u'covid': 1, u'coronavirus': 1, u'uk': 1, u'situation': 1}]"
66,seen facebook group businesses need stop increasing prices essentials emergency situation frankly despicable totally void community spirit nameandshame covid uk coronavirus liverpool,Negative,0.0,67.0,"[{u'toilet': 1, u'sadly': 1, u'therefore': 1, u'thinking': 1, u'atm': 1, u'covid': 1, u'food': 1, u'hygiene': 1, u'important': 1, u'pile': 1, u'misinformed': 1, u'papers': 1, u'stock': 1, u'diarrhoea': 1, u'gives': 1}]"
67,sadly misinformed thinking covid gives diarrhoea therefore stock pile toilet papers atm hygiene food important,Negative,0.0,68.0,"[{u'necessary': 1, u'people': 1, u'safe': 1, u'yeah': 1, u'covid': 1, u'stay': 2, u'parents': 1, u'supermarket': 1, u'go': 1, u'home': 1, u'really': 1, u'risky': 1}]"
68,yeah parents risky people covid stay home go supermarket really necessary stay safe,Positive,1.0,69.0,"[{u'needs': 1, u'group': 2, u'cn': 1, u'get': 1, u'shielded': 1, u'months': 1, u'staying': 1, u'covid': 1, u'need': 1, u'live': 1, u'coronavirus': 1, u'online': 1, u'mum': 1, u'shopping': 1, u'weeks': 1, u'still': 1, u'hope': 1, u'mean': 1}]"
